,Comment,Classes,ner_text,ner_comments
1632,mwesigwa almost done end internship challengeencourage contact lead developer guidance ,Poor,,
1633,sheenah get used sunshine africa aside configured interior gateway protocol layer 3 device learnt fix common pc problem ,Very Poor,3,3
1634,itgood see picking react j looking forward next weekpresentation ,Very Poor,,
1635,despitefew challenge managed complete weektasks configuring routing protocol layer 3 device assembling pc ,Poor,3,3
1636,work team learn fast share challenge group slack channelwill looking forward receiving bible dataset training asr system ,Very Poor,,
1637,since gordanprimary area interest networkingadvise concentrate hand task networking ignore coding task ,Very Poor,,
1638,looking forward seeing customization keep touch colleague task good collaboration ,Very Poor,,
1639,apart transport issue shadrack successfully completed weektasks operate layer 2 3 networking device ease ,Excellent,2 3,2 3
1640,website seen covered area envisaged ,Very Poor,,
1641,jonathan need get serious task claim done done andcannot see effort completed done right despite request correct give limited attention work yet seemed skill beginningrecommend student improves report actual work completed ,Very Poor,jonathan,jonathan
1642,encourage edwin upgrade machine good performance ,Good,,
1643,encourage hope plan journey abit early spend le transport ,Very Poor,,
1644,healmost done challenge ,Very Poor,,
1645,website reviewed comment shared team overall great work ,Very Poor,,
1646,raymond almost done end internship coding challengestill encourage get used debugging ,Poor,raymond almost,raymond almost
1647,joram managed complete weektasks without challenge also perfected command needed operate cisco io ,Poor,,
1648,dauglas done end internship challenge ,Poor,,
1649,healmost done coding challenge presenting solution write end internship report describe detail new skill acquired ,Poor,,
1650,jacob acquired practical skill needed set securewireless network besides configuring access point vendor also set upsecurity surveillance system ,Very Poor,,
1651,resty successfully finished internship stratcom supposed write end internship report explain detail skill acquired ,Poor,,
1652,successfully completed weektasksencourage utilize time stratcom acquire hand skill practical competence ,Excellent,,
1653,encourage plan movement abit early save transport cost ,Very Poor,,
1654,jovan successfully completed weektasks without challenge ,Excellent,,
1655,student introduced system design prototyping database modelling actively participated session mastered bootstrap front end framework also mastered database modelling including database table indexing relationship ,Very Poor,,
1656,sign rogers supposed code present end internship coding challenge buildingcovid tracker app scratchalso encourage get used debugging error since itdebugging part coding ,Poor,,
1657,collins almost done end internship challenge ,Poor,,
1658,good communication skill hardworking self driven keep ,Good,,
1659,sign ismail supposed code present end internship coding challenge buildingweb app enable student register internship stratcom scratch ,Poor,,
1660,encourage leticia get used linux ita good operating system term security ,Very Poor,,
1661,task completed time data uploaded farmer profiling system ,Excellent,,
1662,charlotte successfully completed weektasks next day belinux guru ,Excellent,"charlotte, next day","charlotte, next day"
1663,tumuhairwe isvery hard working self driven individual work well team always communicates well supervisor able learn much suchshort time ,Very Poor,,
1664,managed code challenge though page responsive supposed write end internship report explaining detail new skill acquired ,Poor,,
1665,jonas managed complete weekmain task without challenge well ,Excellent,,
1666,successfully completed weekmain task configuring interior gateway protocol layer 3 device fixing common pc problem ,Excellent,3,3
1667,encourage timothy perfect linux ita good operating system term security ,Very Poor,,
1668,intern good relationship partner ,Good,,
1669,davis done end internship challenge ,Poor,davis,davis
1670,completed assignment able help friend catch good teamwork skill ,Good,,
1671,thanks andrewreceived code pluginm going make time go advise next step get woocommerce marketplace ,Very Poor,,
1672,pamella almost done end internship challengeencourage contact lead developer incase coding challenge ,Poor,,
1673,progress data geo codinghave also advised diana work onsubset data reduce compute resource ,Very Poor,diana,diana
1674,thanks alex diligence shall discussion search engine optimization help grasp good ,Very Poor,alex diligence,alex diligence
1675,keep head hight amidst electricity challenge cross line ,Very Poor,hight,hight
1676,ronald successfully finished internship supposed write end internship report explaining detail new skill acquired wish best ,Poor,ronald successfully,ronald successfully
1677,maintains good working relationship coworkers hasgood attendance record error rate acceptable work completed timely ,Good,,
1678,maintains good working relationship coworkers hasgood attendance record error rate acceptable work completed timely ,Good,,
1679,shealmost done end internship coding challenge ,Poor,,
1680,maintains good working relationship coworkers hasgood attendance record error rate acceptable work completed timely ,Good,,
1681,maintains good working relationship coworkers hasgood attendance record error rate acceptable work completed timely ,Good,,
1682,maintains good working relationship coworkers hasgood attendance record error rate acceptable work completed timely ,Good,,
1683,progressive ,Neutral,,
1684,despitefew challenge patricia managed complete weekmain task alsopromising linux guru ,Excellent,,
1685,harnest successfully finished internship supposed write end internship report explaining detail new skill acquired ,Poor,,
1686,hilda finished weektasks without challenge ,Poor,,
1687,challenged computer although progressed activity since work didnt require using computer ,Very Poor,,
1688,joshua ispromising linux guru appreciate power linux switch window linux ,Very Poor,joshua ispromising linux,joshua ispromising linux
1689,new wordpress among skill week ,Very Poor,,
1690,progressive ,Neutral,,
1691,encourage carolus add ram chip pc window successfully installed ,Very Poor,,
1692,successfully completed weekmain task setting upsoho network installing operating system application software without challenge ,Excellent,,
1693,benonattendance record week exceedingly proper regardless network connection challenge continued maintaingood working relationship team member assigned inquisitive asks learn attentive training ,Good,,
1694,progressive ,Neutral,,
1695,great start ,Very Poor,,
1696,good work jude great contribution team meeting ,Good,,
1697,keep good work ,Good,,
1698,please visualize present work working great teamwork team member ,Very Poor,,
1699,looking forward looking schema multi attributed product thank ,Very Poor,,
1700,well done client list compilation thank ,Very Poor,,
1701,great work jude area improvement visualize showcase progress looking forward final presentation next week ,Very Poor,next week,next week
1702,progressive ,Neutral,,
1703,mboizi ericperformance commendable happy progress ,Very Poor,,
1704,andrew get used long training session entirely hand ,Very Poor,andrew,andrew
1705,encourage rebecca multi task acquire practical skill time read end semester exam ,Very Poor,,
1706,apart terrible weather andrew managed come stratcom internship also completed weektasks linux system administration ease ,Poor,andrew,andrew
1707,another week low performance due online nature work hampered poor connectivity project plan revised accommodate delay call multi tasking order catch even though working environment challengingam yet identify strength weakness raziah brings team performance ,Very Poor,,
1708,good take social medium involvement social medium team producing commendable content especially ongoing challenge ,Very Poor,,
1709,first week good integrated easily team understood task ,Good,,
1710,student task time exhibitedgreat amount interest ad passion work ,Very Poor,,
1711,progressive ,Neutral,,
1712,item okay please session completed ,Very Poor,,
1713,sign present end internship coding challenge ,Poor,,
1714,fully completed ,Excellent,,
1715,chrispus managed code end internship challengeweb app enables student register internship stratcom without challenge successfully presented solution ,Poor,,
1716,20 delivery core task due poor team performance others disadvantaged poor connectivity majorly outside control project plan revised accommodate delay call multi tasking order catch poor team cohesion one identified risk kayiwa reminded planned address team engagement meeting overcome breakdownexpect see going forward ,Very Poor,20,20
1717,sign lillian code end internship challenge scratch coding online registration app app enables student register internship stratcom ,Poor,,
1718,mr mutamba abudi made comparison analytics performance report different social medium platform company particularly facebook twitter ,Very Poor,,
1719,providevideo describing frontend focus backend great work keep working ,Very Poor,,
1720,great workwill sharing json file stt model output next task ,Very Poor,,
1721,high analytical skill good problem solving skill ,Good,,
1722,isorry server issue affected work since rectified proceed project hesitate let know challenge may encounter ,Very Poor,,
1723,always enterprise version software installed read hosting excellent work ,Very Poor,,
1724,second week internship andwas able help student get comfortable use open vpn ,Very Poor,,
1725,post message server per instruction feedback2 txt sent whatsapp chatdonsee posted message server response receive server postinghave also noticed selenium whatsapp script py portable thereforecannot run another machine without code breaking task week take following step make portable 1 createproject folder keep project resource including script 2 make sure python virtual environment script run chrome executable selenium reside project directory may need use portable chrome 3 make sure link script relative 4 test sure script run ondifferent machine 5 share project folder probably github ,Very Poor,"feedback2, 1, 2, 3, 4, 5","feedback2, 1, 2, 3, 4, 5"
1726,approach improve blurred image implemented improves pixel classification scenarioslook forward solution heavy size image enhancement causesprocessing downside ,Very Poor,,
1727,impressed team working together understand working unet segmentation model beenlot discussion around implementation improved ,Very Poor,,
1728,experiment conducted joseph team week beenfew modification final layer model seems havebetter performance minority class ,Very Poor,week,week
1729,experiment conducted week andcandidate model comparison currently deployed model quantify improvement ,Very Poor,week,week
1730,delivers required good brain storming document writing ,Very Poor,,
1731,require constant supervision unscheduled absence except documented emergency maintains good working relationship coworkers usually adjusts well change work place take message writes correspondence deal customer coworkers sufficient attention detail ,Good,,
1732,asroutine introduction student staff company information vision etc organised institution would spider technology doesvariety activity including computer training consultancy network infrastructure deployment contract secretarial service equipment repair etc ensure maintain quality service briefly train student basic procedure assigned perform live task client client equipment eliminate error late expose student live experience sure know loy active first weeksessions empowered courage conduct computer awareness program evening class confidently inprofessional way throughout week loy also supported installation two computer spider technology operating system challenge ,Very Poor,"first, week, two","first, week, two"
1733,mboizi ericrelationship partner willingness work commendable happy progress ,Very Poor,,
1734,mboizi ericcontribution great happy progress ,Very Poor,,
1735,indicated progress task assigned intern week 7 reviewed completion acknowledged ,Very Poor,week 7,week 7
1736,issue well fixed looking forward next weekresults ,Very Poor,,
1737,great experiment pyaudioanalysis thanks presentation ,Very Poor,,
1738,looking forward paper literature continue reading ,Very Poor,,
1739,require constant supervision unscheduled absence except documented emergency maintains good working relationship coworkers usually adjusts well change work place take message writes correspondence deal customer coworkers sufficient attention detail ,Good,,
1740,intern industrious progressing well partner ,Very Poor,,
1741,sandra successfully coded presented end internship challengeweb app enables student register internship stratcom supposed write end internship report explaining detail new skill acquired ,Poor,,
1742,progressive ,Neutral,,
1743,fulfilled task task ,Excellent,,
1744,work well done ,Very Poor,,
1745,managed design 3 form going used inproject ,Very Poor,3,3
1746,need improvement creating indicator using query improve practice ,Very Poor,,
1747,week used concluding given student networking also writting report ,Very Poor,,
1748,gerald isself driven individual learnt new php framework suchshort time able propose improvement strategy importantly love keep ,Very Poor,gerald,gerald
1749,multitasking activity yet executed ,Very Poor,,
1750,able handle graphic key item week ,Very Poor,,
1751,james need put extra time work sincehave observed slow progress limited communication report also provides information validated supervisor completed workingrecommend improvement plan attain necessary skill ,Very Poor,james,james
1752,progressive web development static website ,Very Poor,,
1753,progressive ,Neutral,,
1754,progressed networking ,Very Poor,,
1755,upon commendable progress success flutter framework embarked onto training withnew app development framework react order widen studentknowledge app development fieldm glad progress far hope keep going fast learning pace ,Very Poor,,
1756,emmanuel isself driven person despite challenge able delver seek clarity clear learntlot withinlimited amount time include transcribing interview data analysis usingkeep ,Very Poor,,
1757,hybrid model implemented joseph attained one high iou score although class individual iou score still low necrosis class ,Very Poor,one,one
1758,congratulate viola successfully completing internship keep spirit put lesson learnt skill acquired practice forbetter career ahead ,Very Poor,,
1759,progressive ,Neutral,,
1760,listens others active attentive manner exhibit professional behavior attitude always willing go extra mile make maximum use time display commitment excellence demonstrates accuracy well thoroughness ,Very Poor,,
1761,rosemary iscooperative student eager learn interested learning new thing evident first week learning ,Very Poor,,
1762,technical challenge acquired skill ,Poor,,
1763,progressive task called offline excution ,Very Poor,,
1764,always asks question seek guidance sure outstanding ability explain teach display initiative enthusiasm everyday work usually adjusts well change work place ,Very Poor,everyday,everyday
1765,task completed time left completing update website ,Excellent,,
1766,work well group planning carrying activity documentation document outstanding super cool committed determined accomplishing task ,Very Poor,,
1767,impressive take setting k8s new node managed deploy app k8s installation successful ,Very Poor,"k8s, app k8s","k8s, app k8s"
1768,phiona managed code end internship challengemulti page dynamic website former school without challenge supposed write end internship report explaining detail new skill acquired ,Poor,phiona,phiona
1769,focus erd sisnt vast knowledge erd design able understand erd formulation ,Very Poor,,
1770,progressive ,Neutral,,
1771,orientation wassuccess hadchallenge laptop ,Very Poor,,
1772,progressive ,Neutral,,
1773,progressive ,Neutral,,
1774,able learn new skillset ,Very Poor,,
1775,moses managed code present end internship challenge codingmulti page dynamic website former school supposed write end internship report explaining detail new skill acquired ,Poor,,
1776,challenged laptop attended session ,Very Poor,,
1777,progressive ,Neutral,,
1778,progressive ,Neutral,,
1779,sign aida supposed code present end internship coding challenge buildingweb mobile app scratch ,Poor,,
1780,almost done coding challengeencourage focus one thing andtime able accomplish much ,Very Poor,one,one
1781,mariam successfully coded presented end internship challenge codingmulti page dynamic website former school supposed write end internship report explaining detail new skill acquired ,Poor,mariam,mariam
1782,successfully completed weekmain task like file compression creating user permission scripting etc since linux good window many waysencourage charlotte switch window linux ,Excellent,,
1783,diana accomplished another milestone analysis gps data using new attribute extracted gps coordinate new experiment conducted ass quality anomaly detection data ,Very Poor,diana,diana
1784,done ,Very Poor,,
1785,progressive ,Neutral,,
1786,progressive since first week inquisitive anxious whole program attended session executing task offered ,Very Poor,first week,first week
1787,technically challenged computer ,Very Poor,,
1788,challenged laptop endeavored catch since work done asteam ,Very Poor,,
1789,active student coping fast hand skill within institution infrastructure pray continue spirit end ,Very Poor,,
1790,progressive ,Neutral,,
1791,weeklot handled since three thematic area efficient session ,Very Poor,three,three
1792,task week cluster data based date user discussedpossible approach assessing effort made per user collect data taking account attribute data ,Very Poor,"task week, cluster data","task week, cluster data"
1793,collins completed task expected ,Excellent,,
1794,well done customization task good teamwork thumb leading sprint ,Very Poor,,
1795,congratulate benadette successfully completing internship please take lesson learnt skill acquired seriously forbetter career aheadm confident makegood professional ,Very Poor,aheadm,aheadm
1796,jacob successfully finished internship stratcom supposed write end internship report explaining detail skill acquired ,Poor,,
1797,progressive since first week able attend day well executing task hand ,Very Poor,first week,first week
1798,focus graphic work aide user interface design leading next phase task next week introducing student system design development ,Very Poor,"focus graphic, next week","focus graphic, next week"
1799,progressive since able understand accomplish task although little knowledge executing logical database design ,Very Poor,,
1800,abit trouble configuring intervlan routing using router stick method late managed perfect io command ,Very Poor,,
1801,shadrack entitled tocup tea stratcom restaurant ,Very Poor,,
1802,elsysmus successfully completed weektasks addition networking upgrade pc install operating system application software ease ,Excellent,elsysmus,elsysmus
1803,encourage solomon get used distance since training going forfew week ,Very Poor,,
1804,abit trouble performing cisco io command continued practice managed perfect command hedoing well ,Very Poor,,
1805,aaron managed complete weekmain task configuring routing protocol layer 3 device installing software end device configuring vlans layer 2 device inter vlan routingencourage use device pc stratcom complete hand practical task ,Excellent,"aaron, 3, 2, inter vlan","aaron, 3, 2, inter vlan"
1806,jovia managed start internship stratcom successfully completed weektasks without challenge ,Poor,jovia,jovia
1807,margert succesfully completed weekmain task understands cisco io command ease ,Excellent,"margert, cisco io","margert, cisco io"
1808,configuringcisco networking device involvesnumber commandsencourage faith get used command ,Very Poor,,
1809,gilbert successfully completed weekmain tasksalso encourage get used weather ,Excellent,,
1810,noeline managed complete weekmain task without problem also acquiredunique skill week installing operating system application software pc addition configuring vlans inter vlan routing using router stick method ,Very Poor,skill week,skill week
1811,abit trouble configuring router stick method inter vlan routing ok perfected command ,Very Poor,,
1812,dauglas successfully finished internship end internship challenge codedcovid tracking app scratch supposed write end internship report explaining detail new skill acquired wish best ,Poor,,
1813,hellen hadchallenge configuring end device dhcp client late perfected practical skill configuring ip parameter automatically ,Very Poor,hellen,hellen
1814,timothy successfully finished internship acquired hand skill networking pc repair software mantainance system administration window linux camera installation much supposed write end internship report explaining detail new skill acquired ,Poor,timothy successfully,timothy successfully
1815,encourage syden always install new software incase existing software fails work also use pc stratcom ,Very Poor,,
1816,patricia hadbit trouble configuringdesktop running window 10 asdhcp client late perfected skill ,Very Poor,10,10
1817,encourage apollo contact lead trainer incase difficult networking concept command ,Very Poor,,
1818,luise completed weektasks without challenge also perfected cisco io command needed operate cisco networking device ,Very Poor,,
1819,collins perfected cisco io command configure enable routing protocol layer 3 device ease ,Very Poor,3,3
1820,isaac perfected io command needed operate intermediary device router switch also fix common pc problem install software ease ,Very Poor,,
1821,phillip managed start internship stratcom well ,Poor,,
1822,student introduced retrieving fetchung data database using vanilla plain php displaying bootstrap dashboard view ,Very Poor,,
1823,heather successfully completed weekmain task networking equipment expensive soencourage use one stratcom practice ,Excellent,one,one
1824,encourage practice cisco io command also get used troubleshooting connectivity problem since ittroubleshooting part networking ,Very Poor,,
1825,first week hadbroader career discussion fit area interest also suiting internship objective ,Very Poor,,
1826,yet figured bug database beenbit hold ,Very Poor,,
1827,fatihi successfully completed weekpractical task configuring routing protocol layer 3 device installing software end device ,Excellent,"fatihi, 3","fatihi, 3"
1828,encourage phillip practice perfect cisco io command ,Very Poor,,
1829,progressive ,Neutral,,
1830,gordan managed complete weekmain task configuring routing protocol layer 3 device installing software end device since doesnhavelaptopencourage use pc device stratcom complete practical task ,Excellent,"gordan, 3","gordan, 3"
1831,progressive ,Neutral,,
1832,progressive ,Neutral,,
1833,joahua managed start internship stratcom successfully completed weektasks without challenge ,Poor,joahua,joahua
1834,chelsea managed start internship week abit trouble interconnecting intermediary end user device using ethernet cable late perfected skill ,Poor,chelsea,chelsea
1835,challenged installation understood concept well graphic design aimed guiding student user interface design reach state user interface design ,Very Poor,,
1836,encourage jonas get used troubleshooting connectivity problem since ittroubleshooting part networking ,Very Poor,,
1837,expect much filled fresh idea may boost competitive advantage keep ,Very Poor,,
1838,derrick managed start internship heprimary area interest networking well ,Poor,derrick,derrick
1839,ihappy progress making alex keep spirit ,Very Poor,,
1840,progressive system development ,Neutral,,
1841,saul started internship well operate networking equipment cabling configuring networking device ease ,Very Poor,,
1842,take accountability everything done dependable manageable ,Very Poor,,
1843,take accountability everything done dependable ,Very Poor,,
1844,take accountability everything done dependable ,Very Poor,,
1845,abit trouble perfecting cisco io command ok ,Very Poor,,
1846,shared remark website ,Very Poor,,
1847,task completed ,Excellent,,
1848,sheenah successfully completed weekmain task configuring vlans layer 2 device installing software end device ,Excellent,2,2
1849,student still probelms learning new concept ,Very Poor,,
1850,shared feedback draft website ,Very Poor,,
1851,martin successfully completed weektasksencourage plan movementsbit early save transport cost ,Excellent,martin,martin
1852,rajab managed start internship stratcom abit trouble cisco io command cable termination practiced practical concept well ,Poor,,
1853,successfully completed weekmain task installing operating system application software configuring vlans inter vlan routing using router stick method ,Excellent,inter vlan,inter vlan
1854,nice frontend good see managed implement radio search great work ,Very Poor,,
1855,encourage sarah get used weather uganda ,Very Poor,,
1856,able finish react course finished assignment ,Very Poor,,
1857,sarah dismantle assemble end device laptop desktop practice purposesencourage use pc networking machine stratcom ,Very Poor,,
1858,task well done ,Excellent,,
1859,andrewattendance record week exceedingly proper regardless network connection challenge continued maintaingood working relationship team member assigned inquisitive asks learn attentive training ,Good,andrewattendance record week,andrewattendance record week
1860,home interface hosting application heroku agile developmenthave seen otherwise enoch ishardworking person able learn many thing especially use software engineering approach documentation keep ,Very Poor,,
1861,made tangible progress week plannedmid week review session ass gap anticipated delivery timeline revised ,Very Poor,week,week
1862,although circumstance may true yet another week excuse planned use google doc asmitigation loss documentation complied agreedreview recovery status monday andteam review session thursday effort support improved productivity raziah ,Very Poor,"another week, monday, thursday","another week, monday, thursday"
1863,uma successfully completed weektasks without challengeencourage perfect linux ita good operating system term security ,Excellent,,
1864,require constant supervision unscheduled absence except documented emergency maintains good working relationship coworkers usually adjusts well change work place take message writes correspondence deal customer coworkers sufficient attention detail ,Good,,
1865,surely rose occasion wassuccessful sprint well presented demo expose team leadership organization good job task well ,Very Poor,,
1866,louisa managed debug error code successfully presented end internship challenge codingjobconnect app scratch supposed write end internship report explaining detail new skill acquired ,Poor,,
1867,mary successfully codedmulti page dynamic website scratch supposed write end internship report explaining detail skill acquired ,Poor,mary,mary
1868,resty successfully coded presented end internship challenge codingmulti page dynamic website former school supposed write end internship report explaining detail new skill acquired ,Poor,,
1869,require constant supervision unscheduled absence except documented emergency maintains good working relationship coworkers usually adjusts well change work place take message writes correspondence deal customer coworkers sufficient attention detail ,Good,,
1870,successfully completed weektasks configuring routing protocol layer 3 device troubleshooting connectivity issue ,Excellent,3,3
1871,jovan operate layer 2 3 device router switch ease also install application software operating system end device ,Very Poor,2 3,2 3
1872,davis successfully coded presented end internship challenge codingmulti page dynamic website former school supposed write end internship report explaining detail new skill acquired ,Poor,davis,davis
1873,thanks hillary working project please let know ready show final version app created kindly also prepare internship report share thatcan go beforetravelam going around september 8th ,Very Poor,september 8th,september 8th
1874,see progressing well trey keep spiritencourage interact colleague ,Very Poor,,
1875,installation done enable launch skillset ,Very Poor,,
1876,progressive task ,Neutral,,
1877,look forward using skillset acquired networking ,Very Poor,,
1878,require constant supervision unscheduled absence except documented emergency maintains good working relationship coworkers usually adjusts well change work place take message writes correspondence deal customer coworkers sufficient attention detail ,Good,,
1879,require constant supervision unscheduled absence except documented emergency maintains good working relationship coworkers usually adjusts well change work place take message writes correspondence deal customer coworkers sufficient attention detail ,Good,,
1880,laptop challange progressive weektasks ,Very Poor,,
1881,collins successfully coded presented end internship challenge codingjobconnect app scratch supposed write end internship report explaining detail new skill acquired ,Poor,,
1882,mr mutamba presented new finding analytics report social medium platform website ,Very Poor,,
1883,sharifah nakagwe showslot promise happy performance ,Very Poor,sharifah nakagwe showslot,sharifah nakagwe showslot
1884,congratulate jed successfully completing internship take lesson learnt skill acquired seriously definitely going havebright career ahead makewonderful professional ,Very Poor,,
1885,good progress ,Good,,
1886,task done well collaborated well fellow intern ,Very Poor,,
1887,student covered well care take home research ,Very Poor,,
1888,website reviewed remark shared ,Very Poor,,
1889,concluded internship ,Poor,,
1890,task carried successfully minimal supervision ,Excellent,,
1891,lubega nabunje showslot promise impressed performance ,Very Poor,lubega nabunje showslot,lubega nabunje showslot
1892,intern exhibit good working relationship partner ,Good,,
1893,almost done end internship coding challenge ,Poor,,
1894,jacintah successfully coded presented end internship challengeweb app enables student register internship stratcom supposed write end internship report explaining detail new skill acquired ,Poor,jacintah,jacintah
1895,juliette welcome team ita pleasure making acquaintance honor delegated assignment received wholeheartedly accepting assignment questioning intent isgood show ofperson urge learn ,Very Poor,,
1896,value addition team lady research dev team gain might grow even good beseasoned business system analyst ,Very Poor,,
1897,second milestone internship projecte post detection analysis completed alvin implemented algorithm discussed measure property like count size orientation segmentation using technique like contour detection distance transforms organization work git outstanding easy review ,Very Poor,second,second
1898,alvin suggested expanded scope post detection analysis understand characteristic data modelsg using saliency activation map understand part image different model focus training learning process ,Very Poor,,
1899,successfully coded presented registration app write end internship report explaining detail new skill acquired ,Poor,,
1900,need learn automate test task met ,Very Poor,,
1901,task metam happy handled shop order processing record ,Very Poor,,
1902,task met challenge whatsoever ,Very Poor,,
1903,used good programming principle taught like proper naming convention reusability class function applied knowledge versioning software ,Very Poor,,
1904,submits assignment time great team spirit hardworking ,Very Poor,,
1905,clinicmaster appreciates project isaac come answer problem process flow currently providing allowance employee system passed testing validationlot clinicmaster standard followed waiting system deployed used ,Very Poor,,
1906,juliet shownhunger learninghuge motivator factor understanding changing environment information technology forefront especially whentask assigned herwill suggest training getting skin comfort zoneprudent individual ,Very Poor,juliet shownhunger,juliet shownhunger
1907,student okay online platform according work progressappreciate effort ,Very Poor,,
1908,progressed website development ,Very Poor,,
1909,pagination module done well whoever ensure deploy system sever within agreed timeline ,Very Poor,,
1910,require constant supervision unscheduled absence except documented emergency maintains good working relationship coworkers usually adjusts well change work place take message writes correspondence deal customer coworkers sufficient attention detail ,Good,,
1911,require constant supervision unscheduled absence except documented emergency maintains good working relationship coworkers usually adjusts well change work place take message writes correspondence deal customer coworkers sufficient attention detail ,Good,,
1912,require constant supervision unscheduled absence except documented emergency maintains good working relationship coworkers usually adjusts well change work place take message writes correspondence deal customer coworkers sufficient attention detail ,Good,,
1913,require constant supervision unscheduled absence except documented emergency maintains good working relationship coworkers usually adjusts well change work place take message writes correspondence deal customer coworkers sufficient attention detail ,Good,,
1914,able practically execute task given networking among others ,Very Poor,,
1915,great progress noted ,Very Poor,,
1916,well done seen ,Very Poor,,
1917,isgood andpromising hardworking student ready learn pick everything givennew challenging task madegood start internship ,Very Poor,,
1918,progressive ,Neutral,,
1919,multitasking since activity increasing moment hence engagemulti taksing approach ,Very Poor,,
1920,progressive ,Neutral,,
1921,challenged computer ,Very Poor,,
1922,progressed system development ,Very Poor,,
1923,progressive ,Neutral,,
1924,task completed successfully excellent work ,Excellent,,
1925,mary introduced tonew kind organisational programming capable adapting really well fast fitted within data management structure willing learn week one successful ,Very Poor,"mary, week one","mary, week one"
1926,waiting github authentication feature ,Very Poor,,
1927,technically progressive ,Neutral,,
1928,progressive ,Neutral,,
1929,progressive since task hand week didnrequire internet ,Very Poor,week,week
1930,progressive implying target met ,Very Poor,,
1931,progressive ,Neutral,,
1932,progressive since weektarget achieved student ,Very Poor,,
1933,progressive since weektargets achieved ,Very Poor,,
1934,progressive ,Neutral,,
1935,progressive ,Neutral,,
1936,collins delivered github auth going become primary method authentication cranecloud platform ,Very Poor,,
1937,managed deliver even limited resource ,Very Poor,,
1938,managed install get operational difference selected operating system made straight crossed cable installed configured server learnt file security sharing interfaced server 2012 active directory preparation next weekfield task support carried taso headquaters ,Very Poor,2012,2012
1939,derrick managed completed weekhands tasksencourage plan movement abit early save transport cost ,Very Poor,derrick,derrick
1940,joshua completed weektasks without challenge ,Excellent,joshua,joshua
1941,loy active server configuration expressedhigh degree patience proficiency end desk support user needed assistance ,Very Poor,,
1942,done well far accumulated hand skill network configuration ,Very Poor,,
1943,nice cabling skill installed4 channel cctv camera platinum royale hotel busega impressed work ,Very Poor,installed4,installed4
1944,consistently arrives work time unscheduled absence rating period always cordial willing help worker intern client always asks question seek guidance sure ,Very Poor,,
1945,quantity work produced standing never miss work without prior approval appropriate notification enthusiastic energetic display positive behavior demonstrates excellent oral written communication skill ,Very Poor,,
1946,phionah outstanding internee company well cooperative reliable isconscientious student creative designing user interface ,Very Poor,,
1947,uma successully finished internship stratcom acquired hand skill networking system admin pc repair software maintenance much supposed write end internship report explaining detail new skill acquired wish best ,Poor,,
1948,attended team meeting despite challenge ,Very Poor,,
1949,linux good window many way soencourage rebecca get used linux perfect command needed operatelinux system ,Very Poor,,
1950,rebecca successfully finished internship stratcom supposed write end internship report explaining detail new skill acquired ,Poor,,
1951,progressive irrespective virtual machine set failure ,Very Poor,,
1952,encourage aaron get used distance since internship almost done aside successfully completed weektasks hedoing well ,Excellent,aaron,aaron
1953,free make use networking equipment stratcom perfect practical concept ,Very Poor,,
1954,hellen successfully completed weektasks without challenge ,Excellent,hellen,hellen
1955,jonas completed weektasks without challenge ,Excellent,,
1956,encourage shadrack plan movement abit early beat curfew time ,Very Poor,,
1957,doctype eventually done ,Very Poor,,
1958,robinson started internshipencourage use simulation software either gns3 packet tracer perfect io command ,Very Poor,,
1959,acquired practical skill needed share resource onlan like file folder also secure intermediary networking device ,Very Poor,,
1960,pamella managed complete weektasks challenge well ,Poor,,
1961,solomon perfected cisco io command acquired hand skill technique troubleshoot network connectivity issue ,Very Poor,,
1962,encourage gilbert get used weather uganda ,Very Poor,,
1963,noeline abit trouble setting upsimple file server late perfected step accomplish task ,Very Poor,,
1964,encourage jovia plan movement abit early save transport ,Very Poor,,
1965,faith set uplan withnumber pc easily share resource like printer internet connection onlanencourage use pc repair knowledge fix faulty laptop ,Very Poor,,
1966,able meet target set week ,Very Poor,,
1967,phillip share resource onlan printer internet connection document ,Very Poor,,
1968,leticia successfully completed weektasks order appreciate power linuxencourage switch window linux ,Excellent,,
1969,emeju managed start internship stratcom primary area interest networking ,Poor,,
1970,heather successfully completed weektasks without challenge share resource onlan secure intermediary networking device ,Excellent,,
1971,syden successfully completed weekmain task like setting upfile server configuring ssh configuring dhcp access control list layer 3 ,Excellent,3,3
1972,ispromising networking professional ,Very Poor,,
1973,luise successfully completed weektasks without challenge share resource onlan configurelayer 3 device dhcp server ,Excellent,,
1974,contacted pius week aslost access phone managed physically reach shall discus way forward ,Very Poor,week,week
1975,despite afew challenge especially transport hope managed complete weektasks well ,Poor,,
1976,encourage isaac use time away stratcom practice perfect new skill acquired course week ,Very Poor,,
1977,progressive area php functionality seemed new ,Very Poor,,
1978,perfected io command needed operate intermediary device also set upsmall office home network atleast 20 user ,Very Poor,,
1979,sarah acquired hand skill set uplan withnumber pc also share resource printer file internet connection onlan ease ,Very Poor,,
1980,margret completed weektasks configuring dhcp server configuring ssh setting upfile server etc without challenge ,Excellent,margret,margret
1981,jovan successfully completed weektasks well ,Excellent,,
1982,yet see claim complete ,Very Poor,,
1983,time io image take time load soencourage collins exercise patience operating configuring intermediary device router switch ,Very Poor,,
1984,syden successfully completed weektasks without challenge also perfected command needed activate interior gateway protocol layer 3 device ,Excellent,3,3
